Q14942930	Wikimedia subject-area collaboration
Q1050826	large urban region in the United States
Q22283608	Norewgian costume designer
Q4819829	US record label 1954-1997
Q11006	species of plant in the Fabaceae family
Q100701201	climate subtype in the Köppen climate classification system
Q8041025	Wikimedia category
Q953045	process of making items from metal; production and processing of shaped workpieces made of metals
Q846664	predatory bird of the family Accipitridae
Q488	use of nuclear weapons against Japan in World War II
Q77023152	Christian consecration of a building
Q107246611	tail of fish
Q12511	construction designed to bridge a large vertical distance by dividing it into steps
Q14397460	Wikimedia template
Q180382	short and very intense rain
Q3105497	unit of information
Q23425	species of plant in the Cucurbitaceae gourd family
Q11109963	Wikimedia portal
Q3518405	device which ends a telecommunications link and is the point at which a signal enters and/or leaves a network
Q2005334	2008 legal act of the European Union affecting the classification, labelling and packaging of chemicals
Q638	form of art using sound
Q175743	typographic symbol
Q19261760	person working on an agricultural enterprise
Q107724490	move forward
Q47848	architectural practices used in places of worship
Q95149	American publishing house
Q1152798	document provided by an airline during check-in, giving a passenger permission to board the airplane
Q11408	spatial distribution of vectors allowing the calculation of the magnetic force on a test particle
Q9135	software that manages computer hardware resources
Q627531	history of Asia, including the continent as well as nearby islands
Q23914582	scientific article
Q62122079	type of component
Q25113003	Overview of and topical guide to government
Q97153912	Japan open data portal
Q6106	city in Clackamas, Multnomah, and Washington counties in Oregon, United States, and county seat of Multnomah County
Q955824	organization that exists to promote an academic discipline or profession
Q308840	Belgian actor, martial artist, and director
Q7560	female parent
Q222249	branch of private law (outside criminal law) that regulates the patrimonial and personal relations between physical or moral persons
Q18857045	Wikimedia template
Q44946	fundamental object of geometry: locus within which we can distinguish no other locus than itself
Q1342	county seat in Allegheny County, Pennsylvania, United States
Q9633	part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk
Q5065040	album by Art Ensemble of Chicago
Q28797	discipline that applies existing scientific knowledge to develop more practical applications
Q7214067	Wikimedia category
Q230937	measurable characteristic of the current state of a thermodynamic system, independent of the history of the system
Q192056	species of reptile
Q23759326	Wikimedia category
Q657221	largest most formal meal of the day
Q10427558	song from Mötley Crüe
Q44619	emotion induced by perceived danger or threat
Q685071	cannabis leaves and flowers beverage consumed in Indian subcontinent
Q39132	Internet country-code top level domain for Japan
Q8408020	Wikimedia category
Q190478	open-source web application framework
Q7217425	Wikimedia category
Q436847	American film producer
Q18113858	polymer from artificial or natural sources
Q122783	species of bear
Q65129864	soft drink typical of Calabria, Italy
Q9104407	Wikimedia category
Q775842	the emotion of longing or hoping for a person, object, or outcome
Q944763	Film director, screenwriter, television director
Q1649770	plant life-form
Q15454259	Canadian film editor
Q792880	lake in Western China
Q9103996	Wikimedia category
Q106341239	Wikimedia category
Q8068	overflow of water that submerges land
Q415145	Wikimedia disambiguation page
Q856592	curated set of books or other documents in a library
Q7145335	Wikimedia category
Q208961	Irish monastic saint
Q459173	deepest known point in the Earth's seabed hydrosphere
Q7238139	Wikimedia category
Q10809524	Wikimedia template
Q16	country in North America
Q21552830	fruit (use Q41350 for the nothospecies)
Q11285759	type of chair
Q640500	species of insect
Q45063185	functional or decorative object for human spaces made of soft materials such as textiles, fur, or leather
Q657326	broad orders of social hierarchy
Q7195134	Wikimedia category
Q13427271	Wikimedia infobox template
Q6831579	Wikimedia albums discography
Q211503	group of people united by actual or perceived kinship and descent
Q267388	genealogical numbering system
Q272281	media event where newsmakers meet journalists
Q11398	method of scientific taxonomy
Q7215177	Wikimedia category
Q10814975	Wikimedia portal
Q240885	French singer
Q14620	branch of physics concerning light
Q40059	river in West Asia flowing to the Dead Sea
Q3393320	unit of measure in a sports competition and games
Q1815901	electrical circuit containing active components such as transistors, valves or integrated circuits
Q428148	general term for rules or controls, including delegated legislation and self-regulation within an organisation
Q678259	Swedish encyclopedia published between 1876 and 1957
Q104602523	Wikimedia category
Q842346	mathematical relationship asserting that two quantities have the same value
Q16574976	album by Róże Europy
Q22676	footwear
Q19801756	song by American country music artist Kacey Musgraves
Q733956	precursor of Google Docs (2005-2006)
Q890886	cutting process that uses a drill bit to cut a hole of circular cross-section in solid materials
Q2063640	level flight after an aircraft climbs to a set altitude and before it begins to descend
Q8219800	Wikimedia category
Q319608	collection of information that describes the location of a building, apartment, or other structure
Q7013137	Wikimedia category
Q46261	architectural style of Medieval Europe
Q4458	Wikimedia category
Q3130	capital city of New South Wales, Australia
Q778792	international record label
Q7140807	Wikimedia category
Q84110538	Wikimedia category
Q231250	openwork fabric, patterned with open holes in the work, made by machine or by hand
Q2486664	general decline in the stock market over a period of time
Q3257809	range of colors with the hues between blue and red
Q1211967	specific feature of an organism
Q2297	day of the year
Q47018901	one of generally twelve months of a specific calendar. Use with P31
Q2474644	dish of eggs poached in a sauce of tomatoes, chili peppers, onions
Q168247	widespread scarcity of food followed by regional malnutrition, starvation, epidemic, and increased mortality
Q918531	American cinematographer (b.1939)
Q856584	building housing a library
Q38166	artistic works produced during the period extending roughly from the 1860s to the 1970s
Q23649984	rating category in the Kijkwijzer system
Q2259825	student organization acting like a governing body in some respects
Q25223	head of state of Germany
Q1088	color; additive and subtractive (RYB) primary color; visible between purple and green
Q43105	highest peak of the Caucasus and highest mountain in Europe
Q10989264	family name
Q76664785	to get something or someone, to receive something or someone
Q19600	term to classify chemical elements
Q15077368	sum of the economic performance
Q9010345	Wikimedia category
Q2861470	medical specialty concerned with care for patients who require immediate medical attention
Q103892210	icon collection defining environmental and social points of interest
Q847621	father of Master Kong (Confucius)
Q9163217	Wikimedia disambiguation page
Q27955379	infrastructure related to road transport
Q15699769	tone of brown
Q25324	family of mammals
Q35339	American professional wrestling and entertainment company
Q3743695	measuring device used in meteorology
Q413495	Wikimedia disambiguation page
Q398936	Wikimedia disambiguation page
Q2499021	Chinese surname (华)
Q63147187	2019 album by Madonna
Q16144339	art of film making and projection
Q2135494	where cannabis is and is not legal
Q20749109	2007 edition of the reference worked published by Sage
Q100293148	newspaper published in Crystal Falls, Michigan
Q104632110	Wikimedia category
Q344	time which has yet to occur
Q13163235	food from which water has been removed to reduce spoilage
Q109583897	Any Object that has a proper space region. The prototypical physical object has also an associated mass, but the nature of its mass can greatly vary based on the epistemological status of the object.
Q101352	part of a naming scheme for individuals, used in many cultures worldwide
Q43619	all living and non-living things occurring naturally on Earth or some region thereof
Q21010853	artwork of human inner feelings, genre of narrative fiction
Q8084425	Wikimedia template
Q92953148	table of surnames with 100 or more occurrences in the 2010 US census
Q350783	track-bound transport
Q7215567	Wikimedia category
Q5492	one of the Great Lakes in North America
Q6994944	Wikimedia category
Q106106	storage cabinet
Q309	past events and their tracks or records, studied by various branches of human sciences of history
Q1517305	food culture
Q954087	kitchen appliance intended for mixing, folding, beating, and whipping food ingredients
Q7239680	e sora lui Confucius
Q4080955	aesthetic concept
Q820037	person who works in mining
Q34630090	passage or gate from inside someplace to the outside
Q1364657	English band
Q38681	vocalisation produced by canines and other mammals
Q920658	whole-fruit preserve
Q33486	city in and capital of Connecticut, United States
Q847017	organization for the purpose of playing one or more sports
Q124291	material that allows the flow of electrical current
Q56344492	fortification
Q60617645	quality of being desirable or wanted
Q6482278	Wikimedia category
Q1571938	American award for contributions to Humanities
Q6086646	ethic rule a person uses to guide
Q1744	American singer, songwriter and actress
Q719645	music single in the form of a standard size compact disc
Q9536683	Wikimedia category
Q8290385	Wikimedia category
Q1314553	capacity for an individual to consciously know and understand one's own character, feelings, motives, and desires
Q953665	official government emblem of the U.S. state of Connecticut
Q12607437	language version of dictionary
Q105883353	taxonomic rank in zoology in some languages
Q752118	perception, understanding, and reaction to the distress or need of another human being
Q15100085	Wikimedia category
Q22314383	Interacting selectively and non-covalently with ions, charged atoms or groups of atoms.
Q167336	gas in an atmosphere of a planet (usually Earth) that absorbs and emits radiation within the thermal infrared range and causes the greenhouse effect
Q7035720	Wikimedia category
Q8492	drinkable liquid produced from squeezing fruit and vegetables
Q1068107	load-bearing framework of an artificial object, which structurally supports the object in its construction and function
Q651050	conceptual and mathematical opposite of an electron
Q12444025	Indian national movement seeking to end British rule (1857-1947)
Q989963	social and cultural activity of sharing stories, often with improvisation, theatrics, or embellishment
Q9109891	Wikimedia category
Q11406	branch of science concerned with the phenomena of electricity and magnetism
Q27	sovereign state in northwestern Europe covering five-sixths of the island of Ireland
Q2135540	intentional human action
Q723127	Nickel–Strunz 9 ed mineral class number 1
Q3307661	type of cell
Q37540140	family name
Q1339862	page at or near the front of a book on which its title, subtitle, author, publisher, and edition is displayed
Q1283714	branch of agriculture
Q35409	taxonomic rank (or a taxon at that rank) between order and genus
Q137739	American avant-garde composer, pianist, author and inventor
Q1278221	comprehensive, co-educational public university in Ypsilanti, Michigan, United States
Q127877	prefecture of Japan
Q189289	international sport governing body
Q84072	Turkic ethnic group primarily living in Turkey and Northern Cyprus
Q5193405	human rights related to culture and art
Q6912948	Wikimedia category
Q11024	act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules
Q33300	Wikimedia disambiguation page
Q7216238	Wikimedia category
Q512187	federation of states or territories with a republican form of government
Q3958441	conceptual grouping of economic activities
Q20980706	any relief from exertion; a state of quiet and relaxation
Q1781	capital and largest city of Hungary
Q11188275	Wikimedia portal for content related to Comics
Q11637534	cause of death, person or animal died because of falling from height
Q5398426	connected set of television program episodes under the same title
Q7590	human-directed movement of things or people between locations
Q928070	substance in Dune universe
Q16000501	overview of and topical guide to sports
Q12136	abnormal condition negatively affecting organisms
Q29	country in southwestern Europe
Q1385033	exterior part of a three-dimensional object
Q295193	Wikimedia disambiguation page
Q5227103	open data portal of the United Kingdom
Q371231	branch of human geography that studies the geographic distribution of language(s) or its constituent elements
Q2708714	the structure above the atmosphere of Earth, conceived as a vast solid dome
Q1658920	1993 video game
Q83367	canon of the Hebrew Bible, written mostly in Hebrew with some Aramaic
Q1766280	Swedish encyclopedia
Q34	country in Northern Europe
Q41524232	Wikimedia template
Q207766	area of land planted with grasses and similar plants
Q104595125	Wikimedia category
Q177777	management of the flow of resources
Q862888	line of Guangzhou Metro
Q42948	vertical structure, usually solid, that defines and sometimes protects an area
Q4801269	person who directs a musical ensemble
Q23009	attached device used to open or close a door
Q104554518	Wikimedia category
Q108449541	NZTCS conservation status classification
Q7112797	overview of and topical guide to the visual arts
Q844580	specific film distribution method
Q1256415	phase of film production in which the movie is filmed
Q1840792	Wikimedia list of persons
Q1423981	trade route
Q13182	species of plant
Q2301186	in logic, property of a statement which must be true in order for another given statement to be true
Q34394	psychological state in which an individual holds a proposition or premise to be true
Q105623399	measure for the exponential reduction of a sound quantity passing through a substance
Q155124	American composer of music for films, television and video games
Q16960397	2013 film directed by Derek Lee and Clif Prowse
Q8302555	Wikimedia category
Q9092496	Wikimedia category
Q14435	nickname for New York City
Q816854	Wikimedia list article
Q12348865	stop or pause before a decision or action, due to uncertainty or doubt
Q96597597	inner courtyard of a castle, around which the different units are organized
Q729128	ancient Greek city council
Q6626611	list of Wikimedia lists of women
Q636425	genus of plants
Q14446350	Wikimedia template
Q63485459	operatic character in the opera Die Soldaten by Bernd Alois Zimmermann
Q614221	academic discipline; study of the impact of geography on religious belief
Q28955456	opposite to activity
Q21170479	quality of being possible; the condition or fact of being possible
Q1460420	discipline of dealing with and avoiding both natural and man-made disasters, with the goal of reducing the harmful effects
Q5402192	American artist
Q188507	self-contained housing unit occupying part of a building
Q1498321	item with an opposing, negative, or inverse quality to a given item which shares its other qualities
Q1457109	Wikimedia category
Q811679	engineering term; structural part of a complex structure
Q92561	city in Southwestern Ontario, Canada
Q13107827	Wikimedia template
Q3243336	fictional Hawaiian character from Disney's Lilo & Stitch franchise
Q2051667	hypothetical alternate universe that may be parallel to our universe
Q170495	palace in Instanbul
Q216059	mountain
Q55777670	original song written, composed, and performed by Kate Bush
Q7476695	ancient form of written Chinese
Q2021888	American musician
Q2748405	use of heat and a reducing agent to purify metal from ore
Q7112494	overview of and topical guide to Turkey
Q5588107	village in Lublin, Poland
Q83270	genre of rock music often characterized by chordal guitar riffs accompanied by root notes on the bass guitar and "big" drums
Q2285706	chief officer of the executive branch of a government
Q6163851	Wikimedia category
Q2354985	method or steps that maintain, clean up, or repair a road and lengthens its lifespan
Q532423	American businessman and former CEO
Q3306164	snake of the genus Eunectes
Q1995444	process of separating commercially valuable minerals from their ores
Q96618428	NIOSH Science Blog post published in 2019
Q13292702	Nickel–Strunz 9 ed grouping 01.CB.
Q59639813	Congressional Research Service report
Q6429350	Wikimedia category
Q20532613	Wikimedia disambiguation page
Q3114762	naval ship that is built and primarily intended for naval warfare
Q9073584	enlargement or increase of an entity; increase in size, number, value, or strength; an amount by which a quantity is increased
Q4419563	practice of representing things by symbols
Q7112630	overview of and topical guide to festivals
Q1530061	believability of a source or message, comprising objective and subjective components
Q6641340	Wikimedia category page
Q3914	institution for the education of students by teachers
Q1299	English rock band (1960–1970)
Q205892	particular day represented within a calendar system
Q5551966	multi-word or multi-morphemic utterance at least one of whose components is selectionally constrained or restricted by linguistic convention
Q611349	English musician
Q845329	1996 studio album by Jay-Z
Q27122031	onium ion of chlorine; protonated hydrogen chloride
Q7145057	Wikimedia category
Q81727	vessel for liquids
Q13605877	Wikimedia template
Q26256512	economic term for something that is desired
Q7512984	historical event
Q204	integer number
Q2250943	group of composers or a style of composition purportedly shared by a group of composers
Q88802020	type of report
Q159683	weak organic acid
Q3499072	person that directs preparation of meals
Q28344461	profession
Q2851528	Wikimedia list article
Q229660	Wikimedia disambiguation page
Q7487071	Wikimedia category
Q110315	poisoning by lead in the body, especially affects the brain
Q9219982	Wikimedia category
Q7007423	Wikimedia category
Q10514020	type of food based on potatoes
Q909712	class of enzymes
Q654493	culinary traditions of Turkey
Q1145523	working together
Q105418773	event in systems development where requirements are collected from users
Q37707	very short form of Japanese poetry
Q8084985	Wikimedia category
Q6511353	Wikimedia category
Q897500	overview of the geography of Tuvalu
Q6457081	Wikimedia category page
Q198003	President of the Supreme People's Court of China
Q71990254	Fonds held at the Osler Library of the History of Medicine, McGill University
Q1779406	Minor League Baseball Class AAA franchise in Norfolk, Virginia, USA
Q1268199	part of the economic and business process is divided into investment, financing and risk management
Q844930	city-state in ancient Greece
Q22672702	relative directions
Q5637640	Wikimedia template
Q35689	picture of a graduated straight line that serves as abstraction for real numbers; coordinate system in one-dimensional space
Q705178	state of being legally responsible for the commission of an offense
Q6785569	solid tumor consisting of mast cells, generally benign
Q3480053	art of modifying, processing, arranging, or decorating food to enhance its aesthetic appeal
Q45530615	Qing dynasty person CBDB = 67059
Q7037483	Wikimedia category
Q167328	aspect of history
Q19990155	Wikimedia category
Q9226265	Wikimedia category
Q173056	device for weaving textiles
Q19211	highest organ of state power and legislature of the People's Republic of China
Q845625	history of the capital city of France
Q362793	American film and television director
Q30444261	one half (left or right, top or bottom, front or back, etc.) of something or someone
Q1864802	Wikimedia disambiguation page
Q7111875	album by Béla Fleck and the Flecktones
Q8585389	Wikimedia category
Q6337045	Wikimedia category
Q572153	district of China
Q7829561	village in Argyll and Bute, Scotland, UK
Q52491	Wikipedia template
Q131790	material which is used for bonding of various materials
Q481609	changes introduced into a system that adversely affect its current or future performance
Q6497624	upward force that opposes the weight of an object immersed in fluid
Q5645671	Wikimedia category
Q42603	person who consecrates his life to some divinity and whose main functions are to direct religious rites and offer sacrifices to the divinity (for a minister use Q1423891)
Q10929058	class of manufactured objects of similar design sold under a specific brand
Q22342273	direction of a transport route
Q14880308	genus of insects
Q11424	sequence of images that give the impression of movement, stored on film stock
Q190778	federal District of Russia
Q9121	smallest unit of a chemical element
Q570	electroacoustic transducer that converts an electrical audio signal into a corresponding sound
Q48493	mobile operating system by Apple
Q9127910	word processor
Q622988	British–American rock band led by Paul McCartney
Q431095	economy of the country
Q80079	species of plant, herb
Q11566019	Japanese traditional channel marker
Q1144706	Wikimedia list of dramatico-musical works
Q1578405	German film producer
Q15332388	relative direction
Q83405	facility where goods are industrially made, or processed
Q23657047	management consulting firm
Q759524	in an organisation, defines how activities such as task allocation and supervision are directed towards the achievement of its aims
Q3191702	structure that guides electromagnetic waves in the optical spectrum
Q1967614	art museum in Washington, D.C., a division of the Smithsonian Institution
Q44299	species of canine
Q1678432	weapon designed or used primarily for hunting game animals
Q364	hosting service for software projects using Git
Q18891560	rope used for playing children's games or sport
Q6715186	scientific journal publisher
Q3085221	quality of an appendage or organ that has adapted for grasping or holding
Q10870769	mountain in Beijing and Hebei, China
Q3711	capital of Serbia
Q24398318	building intended for religious worship or other activities related to a religion; ceremonial structures that are related to or concerned with religion
Q1773152	inclusion of individuals and organizations in decision-making and opinion-forming processes
Q12681	visual art related to writing
Q8847539	Wikimedia category
Q152247	shedding tears as a response to an emotional state in humans
Q1205231	mechanical structure which supports a telescope
Q208791	underground reservoir of water
Q867541	11th edition of Encyclopædia Britannica
Q24060707	part of a plant
Q8684	capital of South Korea
Q8803159	Wikimedia category
Q15461768	wooden or metallic framework that is slightly bigger than the door it supports and that consists of two parallel upright members (side jambs) on top of which rests a horizontal member (head jamb or lintel). It may include a sill at the bottom
Q1863664	Wikimedia list article
Q56241615	Wikimedia collaborative project around invasive species
Q6426575	Wikimedia category
Q20	country in northern Europe
Q1516917	comprises all different types of modality (alethic, epistemic, etc.)
Q28922	family of songbirds
Q667509	local administrative unit in Austria
Q971721	film editor
Q10513613	Chinese architect and engineer
Q6430198	Wikimedia category
Q40080	area of sand or small stones near the sea or another area of water such as a lake
Q371586	Wikimedia disambiguation page
Q103459	domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor
Q19840076	economy of the region
Q3127593	spice made from ground red peppers
Q38695	preparing food for consumption by the application of heat
Q3259956	day-to-day health care given by a health care provider
Q60734095	works of art made of wood
Q405	Earth's only natural satellite
Q10843872	set of interrelated tasks that transform inputs into outputs, where the tasks may be carried out by people, nature or machines using various resources
Q190258	thing that is necessary for an organism to live a healthy life
Q889	country in Central and South Asia
Q27898977	A British writer
Q22747357	Wikimedia template
Q8533525	Wikimedia category
Q3210331	process of enlarging a hole that has already been drilled
Q10862909	Wikimedia template
Q6872478	Wikimedia template (almost exclusively wikipedia)
Q1323594	American motion picture distribution company
Q83283320	A LiverTox categorization of the likelihood of drug induced liver Injury where the drug is well known, well described and well reported to cause either direct or idiosyncratic liver injury, and has a characteristic signature
Q15987487	encyclopedia article
Q302	central figure of Christianity (c. 4 BC – 30 or 33 AD)
Q132	day of the week
Q2424752	anything that can be offered to a market
Q3248428	Wikimedia portal
Q4771317	band
Q43793412	1998 album by Sylvie Vartan
Q73087343	researcher
Q14754934	miller indices of a rhombohedral crystal face
Q8486941	Wikimedia subject-area collaboration
Q50759282	physical part of a shoe or boot
Q599384	Python reference implementation
Q2594	German politician (1884-1963)
Q210826	horse breed
Q1570182	any substance spread over a surface
Q336	systematic enterprise that builds and organizes knowledge, and the set of knowledge produced by this enterprise
Q8210598	Wikimedia portal
Q263588	cooking technique
Q1199715	1978 film by Irwin Allen
Q207326	point on a surface that is higher in elevation than all points immediately adjacent to it, in topography
Q100863074	economy of the region
Q7551318	procedure carried out by people in various areas of society
Q337535	video game store and digital distribution platform among other services
Q1492760	young person (between 13 and 19 years old)
Q1191714	working class laborer who performs skilled or unskilled manual labor
Q7777318	Wikimedia category
Q33823	official language of Nepal
Q4431094	library or library unit that houses materials requiring specialized security and user services
Q2036485	1961 film by Roman Polanski
Q30034	species of insect
Q719967	supreme law of Italy
Q3417465	album by The Pretty Things
Q55325237	Wikimedia category
Q7128792	competitive contact sport involving combat
Q29485	action or proposition which is inaccurate or incorrect, that could result in failure or deviation from the intended performance or behaviour
Q141212	studies after the bachelor's degree level
Q2051292	2011 film by Srđan Dragojević
Q65	largest city in California, United States
Q37726	military branch for ground warfare
Q8375185	Wikimedia category
Q1068715	network for communications over distance
Q12111866	planned maintenance
Q188941	progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events
Q6684096	Wikimedia template
Q8505933	Wikimedia category
Q57833	German composer
Q42053	city in Isfahan Province, Iran
Q84969419	Wikimedia category
Q1761593	2003 single by Kelis
Q2159907	person who has committed a crime
Q851872	unit of digital information
Q182832	live performance of music
Q15835707	Wikimedia disambiguation page
Q257418	front side of coins, medals, orders of merit, and paper bills
Q633625	Fermented beverage made from fruit other than grapes
Q11753165	Wikimedia disambiguation page
Q23021506	military rank in Russia and the Soviet Union
Q1158	international sports governing body organizing track and field athletics
Q34704992	scientific article
Q13379813	Wikimedia template
Q115	country in the Horn of Africa
Q6719084	one of the earliest electronic digital computers built in Japan
Q890542	string joining the two ends of a bow stave
Q7112229	overview of and topical guide to Christianity
Q7464048	Wikimedia category
Q889503	washing or blowing away of the top layer of soil
Q1139536	Indian national holiday
Q7565	male parent
Q5616161	Wikimedia template
Q9392615	high-level military unit with a permanent table of organization
Q12177444	drilling a hole, tunnel, or well in the earth
Q1243	region in Italy
Q8134	social science that analyzes the production, distribution, and consumption of goods and services
Q2915214	soundness, rationality and healthiness of the mind
Q553	hard, calcified structure found in the jaws (or mouths) of many vertebrates and used to break down food
Q4966070	Wikimedia category
Q22905872	overview of and topical guide to academia
Q43471	forearm and upper arm together without hand and shoulder
Q54854776	button on a typewriter keyboard
Q27583	genus of plants
Q41176	structure, typically with a roof and walls, standing more or less permanently in one place
Q149892	genus of mammals, including domestic dogs
Q24639	city in British Columbia, Canada
Q10723731	Wikimedia template
Q11290210	Wikimedia portal
Q3238261	taxonomic rank
Q16056629	beijing Population census
Q1149963	mechanism of a clock or watch
Q141898	vegetable dish
Q58836223	Basal segment of antennae
Q1196645	citizens and nationals of Canada
Q9413229	Wikimedia category
Q8799	unit of digital information equal to 8 bits
Q382386	any vascular pathway for blood or lymph
Q2746270	method of execution where the victim is coerced into committing suicide by royal decree
Q628455	single established symbolic acts, is a part of ceremony
Q3010	young male human
Q158668	lowest enlisted rank in many armed forces
Q8972360	Wikimedia category
Q58705	region of the northern Indian Ocean
Q16959422	Wikimedia category
Q160695	central part of the living body
Q86919406	details of ongoing viral pandemic in the Czech Republic
Q309035	substance exerted in the groin or armpits to lessen the smell of body odour
Q19599132	American wrestling announcer
Q2908004	dry, bulk solid composed of a large number of very fine particles
Q484641	music genre
Q3739104	manner of death
Q899647	class of drug
Q2532663	light that covers the electromagnetic spectrum from infrared to near-ultraviolet
Q8996509	Chinese politician
Q136407	history and future of the universe according to Big Bang cosmology
Q7154741	Wikimedia category
Q26401	special kind of point that describes the corners or intersections of geometric shapes
Q6483081	Wikimedia category
Q518350	metal alloy with copper as its principal component
Q1807128	german playing card suit
Q3773693	small hand-held tool used for food preparation
Q832508	fifth and current republican constitution of France
Q22671	order of insects
Q2944534	Wikimedia category
Q193428	second largest and populated city in Osaka Prefecture, Japan
Q73545549	formal removal from an official list
